trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,load_variables.started,load_variables.stopped,Welcome.started,key_instruct.started,Welcome.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,pretest.started,trial_type,sound,fixation.started,sound_1.started,fixation.stopped,image.started,pretest_response.started,pretest.stopped,pretest_response.keys,pretest_response.corr,pretest_response.rt,pretest_response.duration,training.started,text.started,text.stopped,training.stopped,training_block.started,fixation_2.started,fixation_2.stopped,sound_3.started,image_3.started,training_response.started,training_block.stopped,training_response.keys,training_response.corr,training_response.rt,training_response.duration,feedback.started,text_2.started,image_4.started,feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.028209083946421742,0.02897016704082489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f1f,001,2024-11-08_19h28.34.797,experiment,2024.1.5,None,2024-11-08 19h28.43.321713 +0530,
,,,,,,,,,,,,0.02899424999486655,0.04075033403933048,0.7843524999916553,space,0.7120684160618111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f1f,001,2024-11-08_19h28.34.797,experiment,2024.1.5,None,2024-11-08 19h28.43.321713 +0530,
0,0,0,0,,,,,0.8167672919807956,,,,,,,,,,0.7854780839988962,pre_test,stimuli/right90_test_sound,0.8167672919807956,1.2915014586799467,1.3148362500360236,1.783043000032194,1.783043000032194,2.2851535419467837,z,0,0.4964325000764802,None,,,,,,,,,,,,,,,,,,,,1f1f,001,2024-11-08_19h28.34.797,experiment,2024.1.5,None,2024-11-08 19h28.43.321713 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2857855419861153,2.2925178749719635,4.2914985419483855,4.284986292012036,,,,,,,,,,,,,,,,1f1f,001,2024-11-08_19h28.34.797,experiment,2024.1.5,None,2024-11-08 19h28.43.321713 +0530,
,,,,0,0,0,0,4.2914985419483855,,,,,,,,,,,training,stimuli/right30_white_noise.wav,,,,,,,,,,,,,,,4.285633499966934,4.2914985419483855,4.781701541971415,4.79186320869873,5.281749209039845,5.281749209039845,6.351935500046238,z,0,1.068704167031683,None,6.35245104203932,6.401369584025815,6.401369584025815,8.861020667012781,1f1f,001,2024-11-08_19h28.34.797,experiment,2024.1.5,None,2024-11-08 19h28.43.321713 +0530,
,,,,,,,,8.866192167042755,,,,,,,,,,,training,stimuli/Left30_white_noise.wav,,,,,,,,,,,,,,,8.861251958995126,8.866192167042755,9.358427374972962,9.358230666668776,9.848375416942872,9.848375416942872,,,,,,,,,,,,,,,,,
