,file_path,angle,channel,corrAns
0,training_stimuli/pure_tones/left_90_700_training.wav,90,left,z
1,training_stimuli/pure_tones/right_90_700_training.wav,90,right,b
2,training_stimuli/pure_tones/left_30_700_training.wav,30,left,x
3,training_stimuli/pure_tones/right_30_700_training.wav,30,right,v
4,training_stimuli/pure_tones/center_0_700_training.wav,0,center,c
